slice_file_name,fold,classID,class
augmented_0_split_10_0.wav,16,1,0
augmented_0_split_10_1.wav,16,1,0
augmented_0_split_10_2.wav,16,1,0
augmented_0_split_11_0.wav,16,1,0
augmented_0_split_11_1.wav,16,1,0
augmented_0_split_11_2.wav,16,1,0
augmented_0_split_12_0.wav,16,1,0
augmented_0_split_12_1.wav,16,1,0
augmented_0_split_12_2.wav,16,1,0
augmented_0_split_13_0.wav,16,1,0
augmented_0_split_13_1.wav,16,1,0
augmented_0_split_13_2.wav,16,1,0
augmented_0_split_14_0.wav,16,1,0
augmented_0_split_14_1.wav,16,1,0
augmented_0_split_14_2.wav,16,1,0
augmented_0_split_15_0.wav,16,1,0
augmented_0_split_15_1.wav,16,1,0
augmented_0_split_15_2.wav,16,1,0
augmented_0_split_16_0.wav,16,1,0
augmented_0_split_16_1.wav,16,1,0
augmented_0_split_16_2.wav,16,1,0
augmented_0_split_17_0.wav,16,1,0
augmented_0_split_17_1.wav,16,1,0
augmented_0_split_17_2.wav,16,1,0
augmented_0_split_18_0.wav,16,1,0
augmented_0_split_18_1.wav,16,1,0
augmented_0_split_18_2.wav,16,1,0
augmented_0_split_19_0.wav,16,1,0
augmented_0_split_19_1.wav,16,1,0
augmented_0_split_19_2.wav,16,1,0
augmented_0_split_1_0.wav,16,1,0
augmented_0_split_1_1.wav,16,1,0
augmented_0_split_1_2.wav,16,1,0
augmented_0_split_20_0.wav,16,1,0
augmented_0_split_20_1.wav,16,1,0
augmented_0_split_20_2.wav,16,1,0
augmented_0_split_21_0.wav,16,1,0
augmented_0_split_21_1.wav,16,1,0
augmented_0_split_21_2.wav,16,1,0
augmented_0_split_22_0.wav,16,1,0
augmented_0_split_22_1.wav,16,1,0
augmented_0_split_22_2.wav,16,1,0
augmented_0_split_23_0.wav,16,1,0
augmented_0_split_23_1.wav,16,1,0
augmented_0_split_23_2.wav,16,1,0
augmented_0_split_24_0.wav,16,1,0
augmented_0_split_24_1.wav,16,1,0
augmented_0_split_24_2.wav,16,1,0
augmented_0_split_25_0.wav,16,1,0
augmented_0_split_25_1.wav,16,1,0
augmented_0_split_25_2.wav,16,1,0
augmented_0_split_2_0.wav,16,1,0
